Loading design...
Design: SKY130 Voltage-Controlled Ring Oscillator
Parameters: 7
Specs: 5

DE: 7 params, pop=35, patience=30, workers=4
[DE] iter  174 | best: -7.295040e+00 | no_improve:  10 | div: 0.0076 | dt: 46.710s
[DE] iter  175 | best: -7.295040e+00 | no_improve:  11 | div: 0.0075 | dt: 33.848s
[DE] iter  176 | best: -7.295040e+00 | no_improve:  12 | div: 0.0071 | dt: 59.989s
[DE] iter  177 | best: -7.295040e+00 | no_improve:  13 | div: 0.0070 | dt: 36.540s
[DE] iter  178 | best: -7.295807e+00 | no_improve:   0 | div: 0.0069 | dt: 34.800s
[DE] iter  179 | best: -7.295807e+00 | no_improve:   1 | div: 0.0068 | dt: 33.302s
[DE] iter  180 | best: -7.295807e+00 | no_improve:   2 | div: 0.0066 | dt: 53.246s
[DE] iter  181 | best: -7.295807e+00 | no_improve:   3 | div: 0.0063 | dt: 80.632s
[DE] iter  182 | best: -7.295807e+00 | no_improve:   4 | div: 0.0059 | dt: 34.882s
[DE] iter  183 | best: -7.295807e+00 | no_improve:   5 | div: 0.0059 | dt: 34.848s
[DE] iter  184 | best: -7.295807e+00 | no_improve:   6 | div: 0.0060 | dt: 34.003s
[DE] iter  185 | best: -7.295807e+00 | no_improve:   7 | div: 0.0056 | dt: 34.086s
[DE] iter  186 | best: -7.295807e+00 | no_improve:   8 | div: 0.0057 | dt: 34.378s
[DE] iter  187 | best: -7.296377e+00 | no_improve:   0 | div: 0.0056 | dt: 34.592s
[DE] iter  188 | best: -7.297019e+00 | no_improve:   0 | div: 0.0055 | dt: 31.206s
[DE] iter  189 | best: -7.297019e+00 | no_improve:   1 | div: 0.0055 | dt: 44.237s
[DE] iter  190 | best: -7.297019e+00 | no_improve:   2 | div: 0.0060 | dt: 34.025s
[DE] iter  191 | best: -7.297019e+00 | no_improve:   3 | div: 0.0060 | dt: 34.952s
[DE] iter  192 | best: -7.297019e+00 | no_improve:   4 | div: 0.0058 | dt: 33.698s
[DE] iter  193 | best: -7.297441e+00 | no_improve:   0 | div: 0.0056 | dt: 32.204s
[DE] iter  194 | best: -7.297441e+00 | no_improve:   1 | div: 0.0055 | dt: 28.991s
[DE] iter  195 | best: -7.297600e+00 | no_improve:   0 | div: 0.0056 | dt: 34.165s
[DE] iter  196 | best: -7.297600e+00 | no_improve:   1 | div: 0.0055 | dt: 43.622s
[DE] iter  197 | best: -7.297600e+00 | no_improve:   2 | div: 0.0054 | dt: 33.030s
[DE] iter  198 | best: -7.297600e+00 | no_improve:   3 | div: 0.0054 | dt: 33.750s
[DE] iter  199 | best: -7.297734e+00 | no_improve:   0 | div: 0.0048 | dt: 33.977s
[DE] iter  200 | best: -7.297920e+00 | no_improve:   0 | div: 0.0048 | dt: 34.168s
[DE] iter  201 | best: -7.297964e+00 | no_improve:   0 | div: 0.0046 | dt: 31.676s
[DE] iter  202 | best: -7.297964e+00 | no_improve:   1 | div: 0.0049 | dt: 55.842s
[DE] iter  203 | best: -7.297964e+00 | no_improve:   2 | div: 0.0047 | dt: 72.326s
[DE] iter  204 | best: -7.297964e+00 | no_improve:   3 | div: 0.0047 | dt: 31.493s
[DE] iter  205 | best: -7.297964e+00 | no_improve:   4 | div: 0.0050 | dt: 31.710s
[DE] iter  206 | best: -7.297965e+00 | no_improve:   0 | div: 0.0051 | dt: 29.504s
[DE] iter  207 | best: -7.297965e+00 | no_improve:   1 | div: 0.0047 | dt: 30.491s
