Loading design...
Design: SKY130 Voltage-Controlled Ring Oscillator
Parameters: 6
Specs: 5

DE: 6 params, pop=30, patience=30, workers=4
[DE] iter  106 | best: -7.351838e+00 | no_improve:   0 | div: 0.0101 | dt: 29.536s
[DE] iter  107 | best: -7.352689e+00 | no_improve:   0 | div: 0.0098 | dt: 29.952s
[DE] iter  108 | best: -7.352689e+00 | no_improve:   1 | div: 0.0093 | dt: 29.457s
[DE] iter  109 | best: -7.352689e+00 | no_improve:   2 | div: 0.0089 | dt: 48.481s
[DE] iter  110 | best: -7.352689e+00 | no_improve:   3 | div: 0.0089 | dt: 29.796s
[DE] iter  111 | best: -7.352689e+00 | no_improve:   4 | div: 0.0088 | dt: 29.896s
[DE] iter  112 | best: -7.352689e+00 | no_improve:   5 | div: 0.0081 | dt: 30.282s
[DE] iter  113 | best: -7.352689e+00 | no_improve:   6 | div: 0.0081 | dt: 47.549s
[DE] iter  114 | best: -7.352689e+00 | no_improve:   7 | div: 0.0073 | dt: 30.197s
[DE] iter  115 | best: -7.352689e+00 | no_improve:   8 | div: 0.0067 | dt: 29.814s
[DE] iter  116 | best: -7.352689e+00 | no_improve:   9 | div: 0.0069 | dt: 92.348s
[DE] iter  117 | best: -7.352689e+00 | no_improve:  10 | div: 0.0068 | dt: 29.398s
[DE] iter  118 | best: -7.353060e+00 | no_improve:   0 | div: 0.0068 | dt: 29.580s
[DE] iter  119 | best: -7.353060e+00 | no_improve:   1 | div: 0.0065 | dt: 29.231s
[DE] iter  120 | best: -7.353060e+00 | no_improve:   2 | div: 0.0065 | dt: 29.952s
[DE] iter  121 | best: -7.353060e+00 | no_improve:   3 | div: 0.0063 | dt: 30.398s
[DE] iter  122 | best: -7.353060e+00 | no_improve:   4 | div: 0.0063 | dt: 29.937s
[DE] iter  123 | best: -7.353155e+00 | no_improve:   0 | div: 0.0062 | dt: 29.576s
[DE] iter  124 | best: -7.353155e+00 | no_improve:   1 | div: 0.0060 | dt: 30.401s
[DE] iter  125 | best: -7.353155e+00 | no_improve:   2 | div: 0.0060 | dt: 29.410s
[DE] iter  126 | best: -7.353155e+00 | no_improve:   3 | div: 0.0057 | dt: 29.611s
[DE] iter  127 | best: -7.353155e+00 | no_improve:   4 | div: 0.0056 | dt: 29.910s
[DE] iter  128 | best: -7.353155e+00 | no_improve:   5 | div: 0.0054 | dt: 30.367s
[DE] iter  129 | best: -7.353155e+00 | no_improve:   6 | div: 0.0054 | dt: 30.800s
[DE] iter  130 | best: -7.353155e+00 | no_improve:   7 | div: 0.0054 | dt: 37.236s
[DE] iter  131 | best: -7.353155e+00 | no_improve:   8 | div: 0.0054 | dt: 50.808s
[DE] iter  132 | best: -7.353346e+00 | no_improve:   0 | div: 0.0053 | dt: 85.316s
[DE] iter  133 | best: -7.353726e+00 | no_improve:   0 | div: 0.0053 | dt: 74.919s
[DE] iter  134 | best: -7.353726e+00 | no_improve:   1 | div: 0.0051 | dt: 30.094s
[DE] iter  135 | best: -7.353726e+00 | no_improve:   2 | div: 0.0052 | dt: 29.556s
[DE] iter  136 | best: -7.353726e+00 | no_improve:   3 | div: 0.0052 | dt: 29.811s
[DE] iter  137 | best: -7.353726e+00 | no_improve:   4 | div: 0.0053 | dt: 30.115s
[DE] iter  138 | best: -7.353726e+00 | no_improve:   5 | div: 0.0052 | dt: 29.499s
[DE] iter  139 | best: -7.353726e+00 | no_improve:   6 | div: 0.0037 | dt: 29.713s
[DE] iter  140 | best: -7.353726e+00 | no_improve:   7 | div: 0.0036 | dt: 29.700s
[DE] iter  141 | best: -7.353726e+00 | no_improve:   8 | div: 0.0035 | dt: 29.402s
[DE] iter  142 | best: -7.353726e+00 | no_improve:   9 | div: 0.0035 | dt: 29.765s
[DE] iter  143 | best: -7.353726e+00 | no_improve:  10 | div: 0.0035 | dt: 29.812s
[DE] iter  144 | best: -7.354075e+00 | no_improve:   0 | div: 0.0032 | dt: 29.697s
[DE] iter  145 | best: -7.354075e+00 | no_improve:   1 | div: 0.0032 | dt: 29.785s
[DE] iter  146 | best: -7.354075e+00 | no_improve:   2 | div: 0.0031 | dt: 29.915s
[DE] iter  147 | best: -7.354075e+00 | no_improve:   3 | div: 0.0030 | dt: 29.684s
[DE] iter  148 | best: -7.354075e+00 | no_improve:   4 | div: 0.0027 | dt: 29.939s
[DE] iter  149 | best: -7.354150e+00 | no_improve:   0 | div: 0.0026 | dt: 29.975s
[DE] iter  150 | best: -7.354150e+00 | no_improve:   1 | div: 0.0026 | dt: 29.909s
[DE] iter  151 | best: -7.354150e+00 | no_improve:   2 | div: 0.0025 | dt: 29.683s
[DE] iter  152 | best: -7.354150e+00 | no_improve:   3 | div: 0.0023 | dt: 29.518s
[DE] iter  153 | best: -7.354150e+00 | no_improve:   4 | div: 0.0023 | dt: 29.853s
[DE] iter  154 | best: -7.354150e+00 | no_improve:   5 | div: 0.0023 | dt: 55.278s
[DE] iter  155 | best: -7.354150e+00 | no_improve:   6 | div: 0.0023 | dt: 29.949s
[DE] iter  156 | best: -7.354150e+00 | no_improve:   7 | div: 0.0023 | dt: 29.947s
[DE] iter  157 | best: -7.354150e+00 | no_improve:   8 | div: 0.0022 | dt: 29.715s
[DE] iter  158 | best: -7.354254e+00 | no_improve:   0 | div: 0.0021 | dt: 29.652s
[DE] iter  159 | best: -7.354254e+00 | no_improve:   1 | div: 0.0021 | dt: 29.745s
[DE] iter  160 | best: -7.354254e+00 | no_improve:   2 | div: 0.0021 | dt: 29.567s
[DE] iter  161 | best: -7.354254e+00 | no_improve:   3 | div: 0.0020 | dt: 29.705s
[DE] iter  162 | best: -7.354254e+00 | no_improve:   4 | div: 0.0021 | dt: 30.322s
[DE] iter  163 | best: -7.354254e+00 | no_improve:   5 | div: 0.0022 | dt: 30.529s
[DE] iter  164 | best: -7.354254e+00 | no_improve:   6 | div: 0.0021 | dt: 59.485s
[DE] iter  165 | best: -7.354254e+00 | no_improve:   7 | div: 0.0020 | dt: 69.591s
[DE] iter  166 | best: -7.354254e+00 | no_improve:   8 | div: 0.0020 | dt: 30.195s
[DE] iter  167 | best: -7.354254e+00 | no_improve:   9 | div: 0.0020 | dt: 29.415s
[DE] iter  168 | best: -7.354254e+00 | no_improve:  10 | div: 0.0020 | dt: 29.762s
[DE] iter  169 | best: -7.354254e+00 | no_improve:  11 | div: 0.0020 | dt: 29.886s
[DE] iter  170 | best: -7.354329e+00 | no_improve:   0 | div: 0.0020 | dt: 29.692s
[DE] iter  171 | best: -7.354329e+00 | no_improve:   1 | div: 0.0019 | dt: 29.428s
[DE] iter  172 | best: -7.354329e+00 | no_improve:   2 | div: 0.0019 | dt: 29.448s
[DE] iter  173 | best: -7.354329e+00 | no_improve:   3 | div: 0.0019 | dt: 29.681s
[DE] iter  174 | best: -7.354329e+00 | no_improve:   4 | div: 0.0018 | dt: 29.984s
[DE] iter  175 | best: -7.354329e+00 | no_improve:   5 | div: 0.0018 | dt: 86.794s
[DE] iter  176 | best: -7.354329e+00 | no_improve:   6 | div: 0.0018 | dt: 29.958s
[DE] iter  177 | best: -7.354329e+00 | no_improve:   7 | div: 0.0018 | dt: 29.358s
[DE] iter  178 | best: -7.354329e+00 | no_improve:   8 | div: 0.0018 | dt: 29.261s
